name,chi2,Z,P,P.adjusted,comparisons
p_ugl,178.9566690251576,2.3624607801408573,0.009077031113627908,0.015765369828932684,Penhorn Lake - Turtle Creek Reservoir
p_ugl,178.9566690251576,-2.2985674155989,0.01076475780950157,0.01821728244684881,Kearney Lake - Lake Charles 1
p_ugl,178.9566690251576,-2.1831302971420783,0.014513107999476587,0.023946628199136368,Lake Charles 2 - Lake Fletcher
p_ugl,178.9566690251576,2.1542228403565002,0.015611350249829795,0.025130466255823575,Cunard Pond - Lake Charles 2
p_ugl,178.9566690251576,-2.0479520466041268,0.020282349164849393,0.03187226297333476,Cunard Pond - Penhorn Lake
p_ugl,178.9566690251576,-1.9524196110646417,0.025444203293068204,0.0390538934265698,Lake Fletcher - Penhorn Lake
p_ugl,178.9566690251576,1.748232536891497,0.04021188483915317,0.06031782725872975,Lake Banook 1 - Lake Charles 2
p_ugl,178.9566690251576,1.6576909111696667,0.04868993463077778,0.06985947142676811,Lake Banook 2 - Lake Charles 2
p_ugl,178.9566690251576,-1.6666323666456568,0.04779376443829481,0.07009752117616572,Lake Charles 2 - Turtle Creek Reservoir
p_ugl,178.9566690251576,-1.454810509436403,0.07286086395603751,0.10231525576805267,Penhorn Lake - Tower Road Reservoir
p_ugl,178.9566690251576,-1.3998103258642831,0.08078506243221789,0.1110794608442996,Kearney Lake - Lake Charles 2
p_ugl,178.9566690251576,-1.3050109942771388,0.09594455206378484,0.12923143747366936,Lake Charles 1 - Lake Fletcher
p_ugl,178.9566690251576,-1.2879439544948867,0.09888273668413612,0.1305252124230597,Penhorn Lake - Shubenacadie Canal
p_ugl,178.9566690251576,1.262073259737051,0.1034612131375319,0.13389098170739422,Cunard Pond - Lake Charles 1
p_ugl,178.9566690251576,0.8969758822739362,0.18486589327457195,0.23463747992541822,Lake Charles 1 - Lake Charles 2
p_ugl,178.9566690251576,0.8545244464973992,0.19640723503149068,0.2445825945675167,Lake Banook 1 - Lake Charles 1
p_ugl,178.9566690251576,-0.8097788371399045,0.2090336488912966,0.2554855708671403,Lake Charles 1 - Turtle Creek Reservoir
p_ugl,178.9566690251576,0.7636352508767419,0.22254231812237443,0.2670507817468493,Lake Banook 2 - Lake Charles 1
p_ugl,178.9566690251576,-0.5534022469925827,0.28999400031618877,0.3417786432297939,Lake Banook 2 - Lake Fletcher
p_ugl,178.9566690251576,0.498438008860309,0.30908767622283384,0.35789099352117604,Cunard Pond - Lake Banook 2
p_ugl,178.9566690251576,0.4539397261604399,0.32493610478527024,0.3634878460309802,Lake Fletcher - Turtle Creek Reservoir
p_ugl,178.9566690251576,-0.4639444667451257,0.32134376662072306,0.3656670447753056,Lake Banook 1 - Lake Fletcher
p_ugl,178.9566690251576,0.3994643832176627,0.3447755311795929,0.3730358206205432,Cunard Pond - Turtle Creek Reservoir
p_ugl,178.9566690251576,0.4075488132396517,0.3418024751443979,0.3759827226588377,Cunard Pond - Lake Banook 1
